qty  price
1460 97.0425684148
-2160 98.37715801
4710 104.726329402
2190 100.003223532
-3420 105.349751347
220 112.699461692
780 118.001616985
1530 119.650059989
-4320 124.736949345
400 123.345837871
1590 127.685764028
-3290 128.834795392
-2360 134.646755163
3270 141.161036164
4170 143.699939575
1310 158.368610155
-540 155.405199736
-2970 150.317162703
4950 154.694561158
3600 148.157137496
-860 148.212706812
-4470 140.852386988
-3220 132.849778363
-4280 134.09883043
470 132.348861256
-1530 124.94781171
-500 129.269928431
-2420 137.56494055
-1350 151.866904006
-360 145.475756173
-2860 137.191926141
-4580 136.686310369
-3540 133.596510777
-330 132.898720457
700 126.220562935
-4390 133.569038357
2160 131.383798251
-2000 130.121283651
-830 120.787523117
170 123.388877111
2080 132.813541233
-4080 141.03591449
-1680 141.121738376
-1210 141.032103686
-3320 136.484447199
-770 144.46340021
1570 130.479112573
-2410 127.461191071
-4140 137.322525311
-380 131.927430862
950 138.030571063
-3680 132.213406458
810 134.888145044
730 135.998606078
960 138.99109681
-1890 139.165829776
4990 135.132104007
4780 136.782498592
1210 137.407837109
2160 143.911896959
-4610 154.633719148
4380 156.668970871
-2380 162.161640927
-4720 157.299024889
-4980 161.250052117
2130 161.086913093
-4970 157.251032793
-4140 163.094683954
4340 166.291114861
-2830 159.185364755
-3690 169.248901197
2860 175.488109596
-3820 181.847483073
1080 182.48258597
-1140 187.700118944
-2420 183.28521253
-1900 186.437634077
1950 191.821645566
2680 201.460445836
4820 188.361699156
510 194.199270725
-2810 199.971186197
3690 197.553983479
-1840 212.428635471
460 209.356448003
-4020 213.815072155
4370 216.183905854
3730 219.668732209
-3600 221.958470232
-4360 234.329666374
-650 246.020743866
170 255.028176283
4420 258.632532464
2940 243.684476549
4930 243.045735589
-2480 249.913063264
-1310 242.765615633
-1750 241.281112285
-4410 236.593600634
-3750 236.698726194
-4970 244.959511144
3760 255.020688605
-540 261.958306295
-3030 259.857841019
910 258.43817857
-4150 265.199934968
3980 252.298774567
830 255.460563822
-2500 263.397496656
390 255.270877442
-700 253.387937443
-1390 252.89294857
-2580 257.30883601
1000 258.441668529
2780 270.562364995
-2900 248.107127699
2190 253.283503824
1400 253.48381266
3980 250.835389102
850 245.267412698
2330 248.99559343
420 242.736208613
1270 245.197373237
3850 255.488204817
-3040 246.57947308
-60 250.918989427
-4120 246.029590364
4790 258.178021046
3080 255.688080602
2020 258.807325487
2580 259.394183704
-1280 260.452805892
1480 251.38935219
1650 250.452470854
-2730 256.200242104
-2920 260.755624117
4850 246.611920236
-1870 253.412682943
1870 240.849348206
2720 234.241522953
2980 216.221844151
-1760 219.985231722
-1900 214.940201882
-3750 208.883272512
-250 219.276623331
4210 217.588620452
2850 230.007197771
4620 231.99394252
-3010 233.98691025
2960 238.889475644
120 218.475900533
950 236.125718516
-4770 232.472039968
-4840 242.278142062
4280 237.689406716
2320 229.374224495
-2530 232.284652237
-3670 231.489147491
-50 221.379323319
1170 227.263053438
4750 236.366984832
-4310 239.291812852
3680 249.916403888
660 235.368543205
1080 239.179492678
1950 236.695148225
-1210 240.299557014
-700 232.378637217
4160 226.893684434
3490 228.546287048
2570 234.237590489
-3990 227.907476922
-1360 219.271870713
-3900 219.001688135
-510 217.100890514
-2450 226.63874034
-110 237.526542899
150 244.88695821
-2750 237.9473803
2490 240.164687165
-450 242.422695981
-2700 242.55681293
2600 237.50985668
960 246.292782715
-1380 254.495792957
1350 260.108396748
4270 244.532214301
1560 256.303770377
3500 255.355228888
-1970 267.82796144
1410 279.366957979
-80 284.551878422
4260 279.937940774
1620 284.432097072
3410 294.249619901
1440 269.011877291
3240 252.525716705
4820 254.885625802
2840 244.229887253
150 258.472894155
780 250.430217212
3390 252.379318916
-4510 239.093572046
500 234.532889582
-3600 235.074646712
-3700 241.21556949
4780 221.970308218
140 217.201435838
-1920 207.009927669
-1650 196.005165534
-2100 188.674312117
-3050 199.683979369
-4680 203.904927281
160 197.225732397
100 196.377543282
200 188.356897331
340 192.672439334
4260 202.856111876
4880 204.211381659
-1650 192.647819798
-590 201.757273609
-3140 206.965102219
-4760 197.902252338
2650 195.13127609
-4570 195.36629126
-2370 202.810393147
3030 203.495433328
400 212.908338984
-3730 217.511884041
-2520 211.291810496
-3250 228.679302499
-3200 228.333374492
-720 222.320203817
-3130 215.487626641
100 222.289896317
780 212.18230563
-670 211.425299522
1550 215.523232389
2670 202.614604087
4080 196.44277394
-790 199.802311839
-4890 215.575934257
130 214.042298927
4390 209.327064996
-2560 203.121675763
1540 221.725805337
-10 217.478693802
2810 228.259555098
870 234.748157266
-590 222.006714291
-4430 219.763677894
-4300 208.701509333
-40 198.260874894
-2650 207.335088511
3030 208.6451456
1060 201.837842162
1560 201.434362667
-4670 190.644861581
-4140 183.436692711
150 189.30672726
4290 193.203495659
1560 182.990395656
-870 184.726423576
-4400 180.287049725
-660 184.009094866
-30 185.379040475
3330 183.397916112
-2200 180.239256659
-3110 191.630223833
-2890 181.871684957
2790 184.676255942
2600 182.066345354
3310 173.906806316
-620 175.449559526
-2510 181.989679478
810 188.385159311
4760 175.845138432
-1040 173.355276061
3960 169.857501439
2380 175.214504091
90 188.077470999
2430 191.356649389
-60 185.473661039
-1930 187.897387885
-4190 186.934317967
2750 180.838890301
1010 182.222293809
-1040 183.249413238
-2320 187.766535216
-1870 191.566842001
10 185.455609781
2820 195.276508015
-3900 202.272716508
2290 197.344169222
4360 199.981262475
-3380 189.225015168
460 192.450493806
3980 193.955538116
1560 183.210762089
340 186.635057817
-3570 181.666976934
-2050 195.166198919
1790 183.506822402
-740 177.59143162
160 180.376366931
1850 186.390221082
-2590 184.245928624
3580 190.900326784
3650 195.226769079
-4750 190.260309657
-1780 183.681460491
-3770 188.18298863
2530 189.217280664
2320 186.589599541
-2960 181.531055372
-2190 183.625317285
-2250 179.8037075
-3050 187.568007153
-4920 182.249129951
4970 177.57418574
1420 185.556596297
1810 184.069189151
310 190.876831184
-1340 188.910519725
-1170 193.114852917
1040 183.419229861
-3900 182.663204531
-4390 198.534087306
4280 211.031153048
3680 202.073233641
-3760 202.330261952
3710 199.190127634
4060 208.268375386
860 192.57996271
2180 196.552243314
-4380 192.901129249
-670 201.704820611
-4870 190.412413024
-3820 193.686365533
-1700 194.752969528
-3930 188.461370231
-4550 188.758216514
-10 171.002409309
640 183.395623681
1620 186.056551814
4330 191.743318542
870 188.01765305
-3000 189.551177793
3850 205.525922059
-90 210.357177171
1890 209.711273533
-1510 202.072445121
-3610 192.487461987
3870 200.447809817
-2380 195.33882412
1790 193.184506335
-2810 195.277366608
130 203.625835417
4300 204.068162101
2420 201.647519097
1390 204.833156821
-3240 215.369923345
200 219.994051515
-4710 221.426871505
2180 224.015296775
4310 240.77474523
1690 241.136404656
2680 246.070496292
2260 237.10750823
-3240 234.905659025
2030 238.727166446
-910 233.315093826
-3000 236.417093751
2100 226.709268429
-2370 229.671813197
3400 228.410917111
3780 224.307902852
-2300 234.691394729
590 239.379148742
-4830 235.623941286
4070 232.198823065
4040 228.706220863
220 219.153095078
2320 222.702025955
3280 208.248172129
1800 197.476091195
3650 206.976525156
-2650 199.070523215
4160 185.84600584
-4230 195.749786401
-2940 198.405473348
-2700 190.831324205
3170 193.988904423
4940 189.067456673
1740 205.720043004
3270 206.931137565
-600 216.756555497
-200 218.019066978
2550 220.6546848
-1200 209.203995349
560 217.339315408
-3060 204.911824514
3990 196.319208935
-4590 195.477057378
2180 187.051613468
1660 186.030883702
-4810 177.38088533
-550 193.901817675
-3190 189.049160535
750 193.250222404
-4470 185.30534881
3580 189.06719185
-2850 191.379820395
-3390 183.588787468
4050 191.48969179
250 200.776356463
1210 201.617598392
-840 215.068365563
100 208.937352849
3800 216.183088635
3840 213.859677728
-3320 217.523599613
-3630 213.847375986
3150 194.195934109
-2790 198.47437697
-4290 208.819644765
-1800 206.930801921
1750 201.535635544
2750 201.573930494
-630 197.173170416
-1820 200.27165822
-3290 203.460714365
600 201.270917789
1240 205.578530268
4100 204.714873231
-460 202.048085585
540 200.525206267
-3080 217.57907493
-1550 226.981337005
-380 222.400921891
-2940 219.457223766
-4760 213.117544544
220 205.650892104
-480 210.151287876
-3430 206.68174422
4800 211.690580226
-3820 212.091834212
-4210 192.317338425
-4890 191.751190181
190 194.959088113
-3840 185.696353443
-1830 195.327246217
-1790 198.191819015
3100 221.640954414
230 221.868905294
4430 225.397952816
-4350 215.639170685
1130 227.927685079
4340 218.123465479
-2440 232.815985203
3200 236.43640537
-1670 252.942425028
-1720 268.356259002
-4630 253.579549038
-3090 270.577694161
-600 263.082143414
-1800 279.812447478
4410 275.076578479
-4080 296.259008249
-2820 287.616300054
4880 283.361014398
530 271.197523659
-200 284.160264074
-4790 274.595821613
510 264.32995468
4540 277.893677599
3490 288.162693839
-1250 308.013445407
-3390 291.201064662
-3080 296.096864039
4430 308.065437008
-1480 318.19923287
-720 325.630498639
4900 331.618591612
1180 321.727679993
390 325.725682062
3950 329.24154207
-2680 317.407957331
2040 335.87201631
-3930 333.812712319
1670 332.042016957
4420 347.312822887
-1590 358.075000437
1620 347.695337952
-890 345.009733688
-2550 344.874672524
-4300 342.693221765
3990 339.330503952
1040 322.645613067
-2960 322.60998395
2980 325.861087759
-4140 331.160196331
1600 342.285012732
-1660 332.598002483
4920 346.254915263
1400 327.867751478
-2030 330.974264351
-180 354.430927447
-1540 361.634594328
-2730 364.405262962
830 371.644553355
-940 374.730923974
-2050 414.866578241
-240 441.341098467
-330 426.199602328
-1090 425.69377182
710 407.548392027
3450 416.773324531
-1590 384.207721332
-2140 398.568645134
3900 412.189163827
1880 434.984160237
-830 437.637781363
2410 417.243210524
-820 411.104237183
-1900 447.800602844
2640 452.281545157
-1490 464.615834322
-1850 444.681920562
-2870 495.00665107
1590 499.46708392
4070 516.008853457
380 524.380767555
2390 534.846087091
1020 531.523463526
1970 544.380694266
-4060 550.671639829
190 546.171835408
3700 551.761281675
-4680 540.306650115
-4540 522.84473041
940 513.83145758
-2730 541.195403501
3200 561.953372757
-380 579.072210497
2110 622.1004752
4400 657.928012314
1690 693.142267234
2440 664.281657384
-1530 669.702036089
1210 695.636466258
-780 663.653124983
1030 680.076759179
-380 648.205004891
-3000 672.901636445
3440 718.714681318
-1070 765.311649459
-1040 745.668955225
3280 749.601271048
-480 731.068310418
-3470 748.410774765
4400 717.987173594
-3500 717.053901414
-3000 692.670891038
1430 723.714917965
-2730 757.40487225
4670 779.454090556
-1330 807.492454851
1910 785.683711021
4600 759.912195299
-4890 739.072878322
3140 742.977392216
-410 729.882821935
-2360 791.130175213
-4500 757.844088166
3060 796.231796135
-2910 781.249792741
-910 774.160733135
-310 782.755048753
-240 848.469657598
-4850 854.954149981
1560 819.644145726
3810 839.464893404
-250 856.265127559
-2250 847.717023954
-2980 822.187974093
1390 761.484793847
-3870 756.599321616
-4110 779.749131901
-4060 799.751140237
3540 804.305008177
160 811.406200766
2270 806.496533521
-2530 854.741109803
2550 853.569222927
3960 865.427246284
720 842.388655308
-3890 817.812074193
-3490 843.479540852
-4890 838.210344289
-4470 858.532208419
-4890 871.361942644
1570 893.018745285
3290 910.406918771
-4110 896.016815874
-1100 940.956883555
1900 963.648455602
320 947.297190221
4550 917.380942391
4850 913.850339699
4990 905.280032623
4780 884.16540473
3140 841.44842513
-3000 850.368248117
-2990 820.843743699
2100 784.024136227
4840 840.526309533
4950 839.753547398
-2270 845.151354123
4610 861.2619494
2700 905.662661278
4890 927.839676833
-3440 939.591990145
100 957.03416239
-50 909.821620946
